2016 USC Fantasy Football Stats
Overall Standings,Wins,Losses,Weekly Winner,Weekly Loser
Chris,126,28,5,0
Zach,125,29,3,0
Shawn,99,55,2,1
Elliot,89,65,1,1
Todd,83,71,0,1
Brian,80,74,1,1
Josh,76,78,1,1
Sudhir,75,79,1,4
Parker,57,97,0,0
Mike,51,103,0,1
Sean,36,118,0,2
Bobby,27,127,0,2

Yearly & Historical League Stats,Record,Owner/Week,Overall Record
Weeks with Most Points,5, Chris,League Record: 2011 - 7 (Chris)
Weeks with Least Points,4, Sudhir,LEAGUE RECORD!!
Team Most Points (week),134.78,Shawn (Week 6),League Record: 2019 - 181.24 (Week 3: Todd)
Team Least Points (week),30.0,Bobby (Week 9),LEAGUE RECORD!!
Closest Game,81.4 vs 81.14,Mike vs Brian (Week 10),League Record: 2011 - 103.7 vs 103.58 (Week 3: Parker vs Todd)
Biggest Blowout,134.04 vs 41.72,Chris vs Parker (Week 7),League Record: 2015 - 156.06 vs 60.68 (Week 13: Parker vs Bobby)
Most Points in a Loss,109.12,Zach (Week 7),League Record: 2021 - 154.68 ( Week 5: Todd)
Least Points in a Win,55.48,Elliot (Week 1),League Record: 2017 - 54.14 ( Week 6: Elliot)
Most Weeks > 125,1,Zach & Chris & Josh & Shawn,League Record: 2019 - 6 (Brian)
Most Weeks > 70,11,Bobby,LEAGUE RECORD!!
Most Trades,1,Shawn & Todd,League Record: 2020 - 8 (Zach)
Most Weekly Points (League),1080.72,Week 1,League Record: 2019 - 1378.1 (Week: 5)
Least Weekly Points (League),894.24,Week 14,League Record: 2017 - 871.42 (Week: 1)

Snake Draft. No optimal draft team was calculated

FA data prior to 2020 is not reliable. No FA team calculated
