2018 USC Fantasy Football Stats
Overall Standings,Wins,Losses,Weekly Winner,Weekly Loser
Zach,98,45,2,2
Shawn,96,47,3,0
Elliot,93,50,2,0
Russ,84,59,2,1
Brian,84,59,1,1
Sudhir,81,62,1,0
Jeff,75,68,0,0
Todd,57,86,0,2
Chris,54,89,1,2
Parker,53,90,0,1
Josh,47,96,1,2
Sean,36,107,0,2

Yearly & Historical League Stats,Record,Owner/Week,Overall Record
Weeks with Most Points,3, Shawn,League Record: 2011 - 7 (Chris)
Weeks with Least Points,2, Todd & Sean & Josh & Chris & Zach,League Record: 2011 & 2016 & 2020 - 4 (Todd & Sudhir & Shawn)
Team Most Points (week),147.58,Elliot (Week 4),League Record: 2019 - 181.24 (Week 3: Todd)
Team Least Points (week),48.64,Sean (Week 12),League Record: 2016 - 30.0 (Week 9: Bobby)
Closest Game,104.06 vs 103.12,Josh vs Jeff (Week 6),League Record: 2011 - 103.7 vs 103.58 (Week 3: Parker vs Todd)
Biggest Blowout,133.34 vs 48.64,Zach vs Sean (Week 12),League Record: 2015 - 156.06 vs 60.68 (Week 13: Parker vs Bobby)
Most Points in a Loss,128.86,Brian (Week 12),League Record: 2021 - 154.68 ( Week 5: Todd)
Least Points in a Win,78.5,Chris (Week 4),League Record: 2017 - 54.14 ( Week 6: Elliot)
Most Weeks > 125,5,Zach,League Record: 2019 - 6 (Brian)
Most Weeks > 70,3,Sean,League Record: 2016 - 11 (Bobby)
Most Trades,0,Zach & Chris & Parker & Josh & Sean & Elliot & Russ & Todd & Brian & Shawn & Sudhir & Jeff,League Record: 2020 - 8 (Zach)
Most Weekly Points (League),1309.14,Week 10,League Record: 2019 - 1378.1 (Week: 5)
Least Weekly Points (League),1165.64,Week 9,League Record: 2017 - 871.42 (Week: 1)

Snake Draft. No optimal draft team was calculated

FA data prior to 2020 is not reliable. No FA team calculated
